date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:48	113/113	---M-Z	200	added ('OK')	text/plain	date:Thu,%2023%20Feb%202023%2009:30:47%20GMT	https://kumengundangmu.com/robots.txt		(from )
16:30:49	141211/141211	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:30:48%20GMT	https://kumengundangmu.com/tema-03-ok/?to=Nama%20Tamu	/Users/bs/theme/master_wedding/nunung4/kumengundangmu.com/tema-03-ok/index3035.html	(from )
16:30:51	2891/2891	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:30:50%20GMT	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3975.5852032695343!2d119.54560171395725!3d-4.841057851194965!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2dbe4fb0db72374f%3A0x5bd4b61f3ddf455b!2sAbc!5e0!3m2!1sen!2sid!4v1644771770620!5m2!1sen!2sid	/Users/bs/theme/master_wedding/nunung4/www.google.com/maps/embed48a5.html	(from https://kumengundangmu.com/tema-03-ok/?to=Nama%20Tamu)
16:30:51	296629/296629	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:30:50%20GMT	https://www.instagram.com/videoundangandigital/?hl=id	/Users/bs/theme/master_wedding/nunung4/www.instagram.com/videoundangandigital/index0cf2.html	(from https://kumengundangmu.com/tema-03-ok/?to=Nama%20Tamu)
16:30:51	768/768	---M-Z	200	added ('OK')	application/rss+xml	etag:%2212b408d0f4e16a2c0f5f1536d56bd18e%22	https://kumengundangmu.com/tema-03-ok/feed/	/Users/bs/theme/master_wedding/nunung4/kumengundangmu.com/tema-03-ok/feed/index.html	(from https://kumengundangmu.com/tema-03-ok/?to=Nama%20Tamu)
16:30:53	0/0	---M--	302	error ('Found')	application/binary	date:Thu,%2023%20Feb%202023%2009:30:52%20GMT	https://goo.gl/maps/q4SAiyMRbSpTMQkP7	/Users/bs/theme/master_wedding/nunung4/goo.gl/maps/q4SAiyMRbSpTMQkP7.1.delayed	(from https://kumengundangmu.com/tema-03-ok/?to=Nama%20Tamu)
16:30:57	213/213	---M-Z	200	added ('OK')	text/plain	date:Wed,%2015%20Feb%202023%2021:19:51%20GMT	https://www.instagram.com/robots.txt		(from https://kumengundangmu.com/tema-03-ok/?to=Nama%20Tamu)
16:30:57	106490/106490	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:30:55%20GMT	https://www.google.co.id/maps/place/Abc/@-4.8410579,119.5456017,17z/data=!4m5!3m4!1s0x2dbe4fb0db72374f:0x5bd4b61f3ddf455b!8m2!3d-4.8410632!4d119.5477904?hl=en&shorturl=1	/Users/bs/theme/master_wedding/nunung4/www.google.co.id/maps/place/Abc/@-4.8410579,119.5456017,17z/data=!4m5!3m4!1s0x2dbe4fb0db72374f_0x5bd4b61f3ddf455b!8m2!3d-4.8410632!4d1191904.html	(from https://kumengundangmu.com/tema-03-ok/?to=Nama%20Tamu)
16:30:57	506894/506894	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Feb%202023%2009:30:57%20GMT	https://www.instagram.com/videoundangandigital/theaustralian.com.au	/Users/bs/theme/master_wedding/nunung4/www.instagram.com/videoundangandigital/theaustralian.com.au	(from https://www.instagram.com/videoundangandigital/?hl=id)
16:30:58	296846/296846	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:30:58%20GMT	https://www.instagram.com/videoundangandigital/	/Users/bs/theme/master_wedding/nunung4/www.instagram.com/videoundangandigital/index.html	(from https://www.instagram.com/videoundangandigital/?hl=id)
16:30:58	141193/141193	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:30:57%20GMT	https://kumengundangmu.com/tema-03-ok/?post_id=29632&comments=0&get=0&order=DESC	/Users/bs/theme/master_wedding/nunung4/kumengundangmu.com/tema-03-ok/indexf8be.html	(from https://kumengundangmu.com/tema-03-ok/?to=Nama%20Tamu)
16:30:58	296582/296582	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:30:58%20GMT	https://www.instagram.com/videoundangandigital/?hl=en	/Users/bs/theme/master_wedding/nunung4/www.instagram.com/videoundangandigital/indexfef7.html	(from https://www.instagram.com/videoundangandigital/?hl=id)
