date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:19	144/144	---M-Z	200	added ('OK')	text/plain	date:Wed,%2022%20Feb%202023%2010:03:56%20GMT	https://weddingkita.net/robots.txt		(from )
16:35:20	172547/172547	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:35:20%20GMT	https://weddingkita.net/update-01/?to=Bp+H+Rahmat+S.pd	/Users/bs/theme/master_wedding/nunung5/weddingkita.net/update-01/index444b.html	(from )
16:35:20	1555/1555	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2023%20Feb%202023%2009:34:14%20GMT	https://weddingkita.net/update-01/feed/	/Users/bs/theme/master_wedding/nunung5/weddingkita.net/update-01/feed/index.html	(from https://weddingkita.net/update-01/?to=Bp+H+Rahmat+S.pd)
16:35:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Feb%202023%2009:35:20%20GMT	https://maps.google.com/maps?q=Masjid%20Assahara&t=m&z=10&output=embed&iwloc=near	/Users/bs/theme/master_wedding/nunung5/maps.google.com/maps.0c8ba.delayed	(from https://weddingkita.net/update-01/?to=Bp+H+Rahmat+S.pd)
16:35:23	172650/172650	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:35:21%20GMT	https://weddingkita.net/update-01/	/Users/bs/theme/master_wedding/nunung5/weddingkita.net/update-01/index.html	(from https://weddingkita.net/update-01/?to=Bp+H+Rahmat+S.pd)
16:35:23	1838/1838	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:35:21%20GMT	https://www.google.com/maps/embed?origin=mfe&pb=!1m4!2m1!1sMasjid+Assahara!5e0!6i10	/Users/bs/theme/master_wedding/nunung5/www.google.com/maps/embed3416.html	(from https://weddingkita.net/update-01/?to=Bp+H+Rahmat+S.pd)
16:35:24	1872/1872	---MCZ	200	added ('OK')	text/plain	date:Wed,%2013%20Jul%202022%2019:00:00%20GMT	https://www.google.com/robots.txt		(from https://weddingkita.net/update-01/?to=Bp+H+Rahmat+S.pd)
16:35:24	172531/172531	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:35:23%20GMT	https://weddingkita.net/update-01/?post_id=383431&comments=2&get=0&order=DESC	/Users/bs/theme/master_wedding/nunung5/weddingkita.net/update-01/index66b6.html	(from https://weddingkita.net/update-01/?to=Bp+H+Rahmat+S.pd)
