date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:49	3612/3612	---M--	200	added ('OK')	image/png	etag:%22efe44c84f2d273124130cfc12a73b965%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/cdn/1640741790_Prokes_3.png	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/cdn/1640741790_Prokes_3.png	(from https://kadio.id/demo/ocean-rose)
16:37:52	121763/121763	---M--	200	added ('OK')	image/png	etag:%228122351939bee9f3e0871b9d9e5a605f%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/images/kdo2/index-flower.png	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/images/kdo2/index-flower.png	(from https://kadio.id/demo/ocean-rose)
16:37:52	3277484/3277484	---M--	200	added ('OK')	audio/mp3	etag:%229d780ca3a234e1b59e8ffb32e44d2804%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/songs/you-are-the-reason.mp3	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/songs/you-are-the-reason.mp3	(from https://kadio.id/demo/ocean-rose)
16:37:53	43482/43482	---M--	200	added ('OK')	image/jpeg	etag:%22f03ec02a7bdeceebb2804817d98dea67%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/439/bride1649774583_groom.jpg	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/439/bride1649774583_groom.jpg	(from https://kadio.id/demo/ocean-rose)
16:37:54	64415/64415	---M--	200	added ('OK')	image/jpeg	etag:%22b2a922510a5a83891cb8c7b9ff98f1e3%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/439/bride1649774583_bride.jpg	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/439/bride1649774583_bride.jpg	(from https://kadio.id/demo/ocean-rose)
16:37:55	0/0	---M--	302	error ('Found')	application/binary	date:Thu,%2023%20Feb%202023%2009:37:55%20GMT	https://goo.gl/maps/6Pv3nvReZMBQJww79	/Users/bs/theme/master_wedding/nunung6/goo.gl/maps/6Pv3nvReZMBQJww79.17.delayed	(from https://kadio.id/demo/ocean-rose)
16:37:56	523200/523200	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:37:56%20GMT	https://www.google.com/maps/place/National+Monument/@-6.1753924,106.8249641,17z/data=!3m1!4b1!4m5!3m4!1s0x2e69f5d2e764b12d:0x3d2ad6e1e0e9bcc8!8m2!3d-6.1753924!4d106.8271528?shorturl=1	/Users/bs/theme/master_wedding/nunung6/www.google.com/maps/place/National+Monument/@-6.1753924,106.8249641,17z/data=!3m1!4b1!4m5!3m4!1s0x2e69f5d2e764b12d_0x3d2ad6e1e0e9bcc8!8m2!3d-6.1753924!4d1064a53.html	(from https://kadio.id/demo/ocean-rose)
16:37:56	1567/1567	---M--	200	added ('OK')	image/png	etag:%224ae9f79ee6bd8387f5ff84054f242e00%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/images/icon/maps-white.png	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/images/icon/maps-white.png	(from https://kadio.id/demo/ocean-rose)
16:37:58	2440/2440	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:37:57%20GMT	https://kadio.id/demo/Live	/Users/bs/theme/master_wedding/nunung6/kadio.id/demo/Live.html	(from https://kadio.id/demo/ocean-rose)
16:37:58	892/892	---M--	200	added ('OK')	image/png	etag:%221df505a01484b06532ffc13384041272%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/images/icon/live-white.png	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/images/icon/live-white.png	(from https://kadio.id/demo/ocean-rose)
16:37:59	40141/40141	---M--	200	added ('OK')	image/jpeg	etag:%22118659ef1389ad84c118e145c92e3224%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774237_g-1.jpg	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774237_g-1.jpg	(from https://kadio.id/demo/ocean-rose)
16:38:00	26005/26005	---M--	200	added ('OK')	image/jpeg	etag:%2244427cea2c13ea79f07202fc276832e5%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774237_g-2.jpg	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774237_g-2.jpg	(from https://kadio.id/demo/ocean-rose)
16:38:01	17234/17234	---M--	200	added ('OK')	image/jpeg	etag:%225753b0a833747a392310cd7481ad96ea%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774237_g-3.jpg	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774237_g-3.jpg	(from https://kadio.id/demo/ocean-rose)
16:38:02	20249/20249	---M--	200	added ('OK')	image/jpeg	etag:%228af06f3a6fc0e3ea48d6d3d8b3c16c0d%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774238_g-4.jpg	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774238_g-4.jpg	(from https://kadio.id/demo/ocean-rose)
16:38:03	27114/27114	---M--	200	added ('OK')	image/jpeg	etag:%22b8b98360c0af88498faf9485f811494a%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774237_g-5.jpg	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774237_g-5.jpg	(from https://kadio.id/demo/ocean-rose)
16:38:04	44210/44210	---M--	200	added ('OK')	image/jpeg	etag:%22a31ae2dcf4617fe8498e8b354f8c9ce4%22	https://s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774237_g-6.jpg	/Users/bs/theme/master_wedding/nunung6/s3.ap-southeast-1.amazonaws.com/cdn.kadio.id/upload/invitation/1649774237_g-6.jpg	(from https://kadio.id/demo/ocean-rose)
