date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:24	182874/182874	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:29:24%20GMT	https://weddingkita.net/update-03/?to=Bp+H+Rahmat+S.pd	/Users/bs/theme/master_wedding/nunung3/weddingkita.net/update-03/index444b.html	(from )
16:29:24	144/144	---M-Z	200	added ('OK')	text/plain	date:Thu,%2023%20Feb%202023%2009:29:23%20GMT	https://weddingkita.net/robots.txt		(from )
16:29:25	3259/3259	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2023%20Feb%202023%2009:24:30%20GMT	https://weddingkita.net/update-03/feed/	/Users/bs/theme/master_wedding/nunung3/weddingkita.net/update-03/feed/index.html	(from https://weddingkita.net/update-03/?to=Bp+H+Rahmat+S.pd)
16:29:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Feb%202023%2009:29:25%20GMT	https://maps.google.com/maps?q=Masjid%20Assahara&t=m&z=14&output=embed&iwloc=near	/Users/bs/theme/master_wedding/nunung3/maps.google.com/maps.08d7b.delayed	(from https://weddingkita.net/update-03/?to=Bp+H+Rahmat+S.pd)
16:29:26	182977/182977	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:29:26%20GMT	https://weddingkita.net/update-03/	/Users/bs/theme/master_wedding/nunung3/weddingkita.net/update-03/index.html	(from https://weddingkita.net/update-03/?to=Bp+H+Rahmat+S.pd)
16:29:28	1872/1872	---MCZ	200	added ('OK')	text/plain	date:Wed,%2013%20Jul%202022%2019:00:00%20GMT	https://www.google.com/robots.txt		(from https://weddingkita.net/update-03/?to=Bp+H+Rahmat+S.pd)
16:29:28	1838/1838	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:29:26%20GMT	https://www.google.com/maps/embed?origin=mfe&pb=!1m4!2m1!1sMasjid+Assahara!5e0!6i14	/Users/bs/theme/master_wedding/nunung3/www.google.com/maps/embed84c0.html	(from https://weddingkita.net/update-03/?to=Bp+H+Rahmat+S.pd)
16:29:28	182858/182858	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2009:29:28%20GMT	https://weddingkita.net/update-03/?post_id=155454&comments=6&get=0&order=DESC	/Users/bs/theme/master_wedding/nunung3/weddingkita.net/update-03/index8dd1.html	(from https://weddingkita.net/update-03/?to=Bp+H+Rahmat+S.pd)
